workload,batch,sm,block_count,elapsed_sum
compute,16,85,65,39623433
compute,16,86,54,33223045
compute,16,87,54,33180656
compute,16,88,68,42220076
compute,16,89,68,42186155
compute,16,90,70,43735723
compute,16,91,70,43809763
compute,16,92,67,41504328
compute,16,93,67,41437714
compute,16,94,55,33293394
compute,16,95,55,33248093
compute,16,96,48,29210039
compute,16,97,48,29177404
compute,16,98,57,34646775
compute,16,99,57,34600151
compute,16,100,68,42658472
compute,16,101,68,42590566
compute,16,102,71,44546239
compute,16,103,71,44464424
compute,16,104,70,43762165
compute,16,105,70,43690245
compute,16,106,62,37701264
compute,16,107,62,37672235
compute,16,108,59,35930819
compute,16,109,60,36521685
compute,16,110,71,44520421
compute,16,111,71,44470661
compute,16,112,72,45253914
compute,16,113,72,45180582
compute,16,114,71,44314241
compute,16,115,71,44276753
compute,16,116,60,36249272
compute,16,117,60,36212152
compute,16,118,48,29137000
compute,16,119,48,29115742
compute,16,120,62,37592031
compute,16,121,62,37535888
compute,16,122,69,42957477
compute,16,123,69,42906194
compute,16,124,72,45291835
compute,16,125,72,45223642
compute,16,126,72,45182301
compute,16,127,72,45129425
compute,32,0,128,90920342
compute,32,1,128,90896732
compute,32,2,128,90858118
compute,32,3,128,90834775
compute,32,4,128,90814807
compute,32,5,128,90735598
compute,32,6,128,90799672
compute,32,7,128,90709617
compute,32,8,128,90852193
compute,32,9,128,90831553
compute,32,10,128,90961100
compute,32,11,128,90919736
compute,32,12,128,90983698
compute,32,13,128,90936495
compute,32,14,128,90874537
compute,32,15,128,90839327
compute,32,16,128,90863151
compute,32,17,128,90776996
compute,32,18,128,90752010
compute,32,19,128,90732281
compute,32,20,128,90903506
compute,32,21,128,90840240
compute,32,22,128,90887266
compute,32,23,128,90865644
compute,32,24,128,90842283
compute,32,25,128,90784765
compute,32,26,128,90731456
compute,32,27,128,90711125
compute,32,28,128,90699167
compute,32,29,128,90676135
compute,32,30,128,90836449
compute,32,31,128,90745623
compute,32,32,128,90923780
compute,32,33,128,90907916
compute,32,34,128,90934914
compute,32,35,128,90921232
compute,32,36,128,90858151
compute,32,37,128,90831124
compute,32,38,128,90779725
compute,32,39,128,90762774
compute,32,40,128,90731254
compute,32,41,128,90717821
compute,32,42,128,90839137
compute,32,43,128,90806602
compute,32,44,128,90867136
compute,32,45,128,90791995
compute,32,46,128,90737316
compute,32,47,128,90719722
compute,32,48,128,90711484
compute,32,49,128,90696189
compute,32,50,128,90696954
compute,32,51,128,90681320
compute,32,52,128,90746486
compute,32,53,128,90728023
compute,32,54,128,90900357
compute,32,55,128,90812467
