workload,batch,trace_id,kernel_run_id,sm,block_count,sched_event_count,sched_cycles_total,sched_mean_cycles,sched_p95_cycles,sched_max_cycles,work_cycles_total,block_elapsed_mean_cycles,block_elapsed_p95_cycles,inferred_slot_count
compute,8,Mar08_221120_1837392,2.229752,46,4,0,0,0.0,0.0,0,1983977,495994.25,588830.5,4
compute,8,Mar08_221120_1837392,2.229752,47,4,0,0,0.0,0.0,0,1971325,492831.25,586889.95,4
compute,8,Mar08_221120_1837392,2.229752,48,4,0,0,0.0,0.0,0,1969605,492401.25,587538.6,4
compute,8,Mar08_221120_1837392,2.229752,49,4,0,0,0.0,0.0,0,1978251,494562.75,587086.6499999999,4
compute,8,Mar08_221120_1837392,2.229752,50,4,0,0,0.0,0.0,0,1995938,498984.5,588549.75,4
compute,8,Mar08_221120_1837392,2.229752,51,4,0,0,0.0,0.0,0,1972576,493144.0,585797.1499999999,4
compute,8,Mar08_221120_1837392,2.229752,52,4,0,0,0.0,0.0,0,1992468,498117.0,588814.75,4
compute,8,Mar08_221120_1837392,2.229752,53,4,0,0,0.0,0.0,0,1968725,492181.25,585813.3999999999,4
compute,8,Mar08_221120_1837392,2.229752,54,4,0,0,0.0,0.0,0,1989283,497320.75,589433.2,4
compute,8,Mar08_221120_1837392,2.229752,55,4,0,0,0.0,0.0,0,1991111,497777.75,588225.25,4
compute,8,Mar08_221120_1837392,2.229752,56,4,0,0,0.0,0.0,0,1991846,497961.5,592133.0,4
compute,8,Mar08_221120_1837392,2.229752,57,4,0,0,0.0,0.0,0,1995452,498863.0,588214.85,4
compute,8,Mar08_221120_1837392,2.229752,58,4,0,0,0.0,0.0,0,1989300,497325.0,588947.8999999999,4
compute,8,Mar08_221120_1837392,2.229752,59,4,0,0,0.0,0.0,0,1987163,496790.75,587598.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,60,4,0,0,0.0,0.0,0,1972582,493145.5,589400.7999999999,4
compute,8,Mar08_221120_1837392,2.229752,61,4,0,0,0.0,0.0,0,1985023,496255.75,588182.7,4
compute,8,Mar08_221120_1837392,2.229752,62,4,0,0,0.0,0.0,0,1978461,494615.25,588220.1499999999,4
compute,8,Mar08_221120_1837392,2.229752,63,4,0,0,0.0,0.0,0,1972335,493083.75,586575.95,4
compute,8,Mar08_221120_1837392,2.229752,64,4,0,0,0.0,0.0,0,1996633,499158.25,590234.95,4
compute,8,Mar08_221120_1837392,2.229752,65,4,0,0,0.0,0.0,0,1999291,499822.75,588737.3999999999,4
compute,8,Mar08_221120_1837392,2.229752,66,4,0,0,0.0,0.0,0,1996123,499030.75,590684.95,4
compute,8,Mar08_221120_1837392,2.229752,67,4,0,0,0.0,0.0,0,2009705,502426.25,588835.95,4
compute,8,Mar08_221120_1837392,2.229752,68,4,0,0,0.0,0.0,0,1996701,499175.25,593270.95,4
compute,8,Mar08_221120_1837392,2.229752,69,4,0,0,0.0,0.0,0,2008014,502003.5,587982.7,4
compute,8,Mar08_221120_1837392,2.229752,70,4,0,0,0.0,0.0,0,1982594,495648.5,588974.5499999999,4
compute,8,Mar08_221120_1837392,2.229752,71,4,0,0,0.0,0.0,0,2007186,501796.5,588118.5499999999,4
compute,8,Mar08_221120_1837392,2.229752,72,4,0,0,0.0,0.0,0,2013253,503313.25,590305.7,4
compute,8,Mar08_221120_1837392,2.229752,73,4,0,0,0.0,0.0,0,2002451,500612.75,588492.85,4
compute,8,Mar08_221120_1837392,2.229752,74,4,0,0,0.0,0.0,0,2013029,503257.25,590002.3999999999,4
compute,8,Mar08_221120_1837392,2.229752,75,4,0,0,0.0,0.0,0,2008201,502050.25,588529.8999999999,4
compute,8,Mar08_221120_1837392,2.229752,76,4,0,0,0.0,0.0,0,2018637,504659.25,592315.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,77,4,0,0,0.0,0.0,0,2014286,503571.5,589460.85,4
compute,8,Mar08_221120_1837392,2.229752,78,4,0,0,0.0,0.0,0,2023880,505970.0,591919.95,4
