workload,core_sched_p95_mean,imbalance_mean,elapsed_cv_mean,jain_mean,rank_sched,rank_imbalance,rank_cv,rank_fairness_bad,overall_risk_score,delay_p95_mean,rank_delay
memory,2041.099999999998,0.24072265625,0.05034737824806763,0.9965134200528837,3.0,5.0,5.0,4.0,17.0,2041.099999999998,3.0
mixed,19637.399999999994,0.14794921875,0.026663014605261052,0.9969566028061132,5.0,3.0,3.0,3.0,14.0,19637.399999999994,5.0
compute,1122.1749999999997,0.09375,0.03399313916577143,0.9963018641010223,2.0,2.0,4.0,5.0,13.0,1122.1749999999997,2.0
sparse,1035.5499999999993,0.15625,0.022638790517013098,0.9983891837284056,1.0,4.0,1.0,2.0,8.0,1035.5499999999993,1.0
vgg16,7431.399999999999,0.07916666666666662,0.023978045965988827,0.9994472183566542,4.0,1.0,2.0,1.0,8.0,7431.399999999999,4.0
